기간,자치구,발생,발생,발생,발생,소실,소실,소실,피해액,피해액,피해액,재산피해경감액,인명피해,인명피해,인명피해,이재민수,구조인원
기간,자치구,합계,실화,방화,기타,동수(동),이재가구수(가구),면적(㎡),합계,부동산,동산,재산피해경감액,합계,사망,부상,이재민수,구조인원
2010,합계,5321 ,4395 ,524 ,402 ,1563 ,131 ,32138 ,14503873 ,5948963 ,8554910 ,1193295 ,230 ,42 ,188 ,277 ,437 
2010,종로구,184 ,159 ,13 ,12 ,45 ,-,505 ,218556 ,66522 ,152034 ,6983 ,8 ,-,8 ,-,22 
2010,중구,237 ,204 ,9 ,24 ,34 ,4 ,1321 ,608296 ,224084 ,384212 ,16451 ,2 ,1 ,1 ,7 ,-
2010,용산구,160 ,135 ,11 ,14 ,57 ,28 ,2728 ,1644922 ,1148703 ,496219 ,6096 ,5 ,1 ,4 ,37 ,9 
2010,성동구,196 ,162 ,19 ,15 ,47 ,2 ,867 ,364582 ,111603 ,252979 ,21722 ,11 ,5 ,6 ,6 ,8 
2010,광진구,169 ,140 ,20 ,9 ,42 ,-,385 ,217067 ,116907 ,100160 ,13019 ,6 ,-,6 ,-,21 
2010,동대문구,229 ,170 ,20 ,39 ,68 ,7 ,1580 ,714401 ,331892 ,382509 ,68170 ,3 ,-,3 ,12 ,25 
2010,중랑구,228 ,182 ,31 ,15 ,75 ,-,1011 ,382970 ,148805 ,234165 ,14434 ,16 ,3 ,13 ,-,4 
2010,성북구,221 ,174 ,20 ,27 ,63 ,5 ,924 ,482840 ,167525 ,315315 ,291449 ,9 ,3 ,6 ,9 ,4 
2010,강북구,186 ,148 ,19 ,19 ,37 ,1 ,538 ,372502 ,159051 ,213451 ,12322 ,9 ,1 ,8 ,3 ,16 
2010,도봉구,190 ,146 ,25 ,19 ,42 ,3 ,936 ,463312 ,144105 ,319207 ,22831 ,7 ,1 ,6 ,9 ,25 
2010,노원구,228 ,185 ,34 ,9 ,55 ,8 ,856 ,351094 ,163341 ,187753 ,22521 ,11 ,1 ,10 ,19 ,29 
2010,은평구,234 ,200 ,28 ,6 ,39 ,3 ,860 ,292299 ,117947 ,174352 ,13152 ,20 ,3 ,17 ,7 ,66 
2010,서대문구,205 ,189 ,13 ,3 ,68 ,4 ,1433 ,394654 ,202858 ,191796 ,8472 ,8 ,3 ,5 ,8 ,26 
