기간,자치구,발생,발생,발생,발생,소실,소실,소실,피해액,피해액,피해액,재산피해경감액,인명피해,인명피해,인명피해,이재민수,구조인원
기간,자치구,합계,실화,방화,기타,동수(동),이재가구수(가구),면적(㎡),합계,부동산,동산,재산피해경감액,합계,사망,부상,이재민수,구조인원
2010,합계,"5,321","4,395",524,402,"1,563",131,"32,138","14,503,873","5,948,963","8,554,910","1,193,295",230,42,188,277,437
2010,종로구,184,159,13,12,45,-,505,"218,556","66,522","152,034","6,983",8,-,8,-,22
2010,중구,237,204,9,24,34,4,"1,321","608,296","224,084","384,212","16,451",2,1,1,7,-
2010,용산구,160,135,11,14,57,28,"2,728","1,644,922","1,148,703","496,219","6,096",5,1,4,37,9
2010,성동구,196,162,19,15,47,2,867,"364,582","111,603","252,979","21,722",11,5,6,6,8
2010,광진구,169,140,20,9,42,-,385,"217,067","116,907","100,160","13,019",6,-,6,-,21
2010,동대문구,229,170,20,39,68,7,"1,580","714,401","331,892","382,509","68,170",3,-,3,12,25
2010,중랑구,228,182,31,15,75,-,"1,011","382,970","148,805","234,165","14,434",16,3,13,-,4
2010,성북구,221,174,20,27,63,5,924,"482,840","167,525","315,315","291,449",9,3,6,9,4
2010,강북구,186,148,19,19,37,1,538,"372,502","159,051","213,451","12,322",9,1,8,3,16
2010,도봉구,190,146,25,19,42,3,936,"463,312","144,105","319,207","22,831",7,1,6,9,25
2010,노원구,228,185,34,9,55,8,856,"351,094","163,341","187,753","22,521",11,1,10,19,29
2010,은평구,234,200,28,6,39,3,860,"292,299","117,947","174,352","13,152",20,3,17,7,66
2010,서대문구,205,189,13,3,68,4,"1,433","394,654","202,858","191,796","8,472",8,3,5,8,26
2010,마포구,179,157,10,12,106,1,"1,367","735,473","268,054","467,419","19,816",10,1,9,4,4
2010,양천구,207,183,12,12,49,-,355,"257,157","97,743","159,414","19,988",8,2,6,-,4
2010,강서구,260,228,15,17,66,-,"1,298","1,160,242","383,107","777,135","53,627",10,1,9,-,21
2010,구로구,159,124,18,17,79,1,859,"504,991","167,053","337,938","208,185",5,1,4,1,1
2010,금천구,116,90,16,10,57,2,764,"546,987","129,476","417,511","115,770",4,-,4,3,1
2010,영등포구,222,171,29,22,68,-,859,"514,262","131,551","382,711","17,871",4,1,3,-,6
2010,동작구,226,203,21,2,55,7,440,"526,271","240,203","286,068","7,246",2,-,2,17,6
