inst_id,OC,sido,sgg,openDate,bedCount,instkind,revenue1,salescost1,sga1,salary1,noi1,noe1,interest1,ctax1,profit1,liquidAsset1,quickAsset1,receivableS1,inventoryAsset1,nonCAsset1,tanAsset1,OnonCAsset1,receivableL1,debt1,liquidLiabilities1,shortLoan1,NCLiabilities1,longLoan1,netAsset1,surplus1
1,open,choongnam,73,20071228,175,nursing_hospital,4217530010 ,0 ,3961134739 ,2033835290 ,15652441 ,15236236 ,13236236 ,31641798 ,225169678 ,1012699685 ,997671878 ,470055740 ,15027807 ,2514586477 ,2360683543 ,143449600 ,0 ,682825991 ,201323700 ,0 ,481502291 ,351000000 ,2844460171 ,1496394171 
3,open,gyeongnam,32,19970401,410,general_hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,open,gyeonggi,89,20161228,468,nursing_hospital,1004521989 ,515483669 ,447219722 ,296402310 ,76156 ,30000 ,0 ,0 ,41864754 ,272442138 ,253682170 ,8095950 ,18759968 ,120481028 ,120481028 ,0 ,0 ,92414342 ,92414342 ,0 ,0 ,0 ,300508824 ,0 
7,open,incheon,141,20000814,353,general_hospital,72507342181 ,0 ,70677397660 ,31786048663 ,506223059 ,1259567512 ,1196881219 ,173769780 ,902830288 ,13041543085 ,11534749645 ,0 ,1506793440 ,43179356963 ,38320784344 ,3945208068 ,0 ,42363797762 ,27991880794 ,19885197610 ,14371916968 ,7253039927 ,13857102286 ,8643659325 
9,open,gyeongnam,32,20050901,196,general_hospital,49043538016 ,0 ,47656051197 ,24460782270 ,112352259 ,1419089382 ,1307248652 ,0 ,80749696 ,6317084032 ,5873265455 ,4099320115 ,443818577 ,43667333124 ,43306130668 ,222340000 ,0 ,49898105519 ,28909188091 ,17930375498 ,20988917428 ,13500000000 ,86311637 ,9025549604 
11,open,gyeongnam,155,20020501,243,general_hospital,33580536703 ,9222996930 ,23727912054 ,16655333342 ,65414325 ,741269419 ,336462245 ,0 ,46227375,5635104883 ,5481680248 ,663481970 ,153424635 ,18649703167 ,18499383217 ,136458178 ,0 ,0 ,18499383217 ,17180526895 ,0 ,0 ,0 ,3664918487 
14,open,gyeonggi,169,19820702,213,general_hospital,22552179836 ,4449958166 ,16573328452 ,11073956461 ,305646045 ,970008848 ,940942802 ,0 ,864530415 ,11407504260 ,11236305651 ,143205215 ,171198609 ,27132228446 ,26616290889 ,469765334 ,0 ,24122304855 ,20349004855 ,15196930457 ,3773300000 ,3723300000 ,14417427851 ,9158248178 
15,open,busan,66,19871102,250,general_hospital,64359169160 ,20758010719 ,40882537264 ,26822603567 ,1426186507 ,3166922895 ,465983760 ,524566650 ,453318139 ,12756514354 ,11879215739 ,5958385250 ,877298615 ,38592616814 ,37877928790 ,36128430 ,0 ,46886016081 ,25563222472 ,13000000000 ,21322793609 ,999960000 ,4463115087 ,0 
16,open,jeonnam,91,20060922,280,nursing_hospital,12748392940 ,328697683 ,11076189315 ,7155936637 ,261621144 ,579079483 ,167471911 ,252452530 ,773595073 ,4134272657 ,4119094934 ,0 ,15177723 ,11669322694 ,11559128195 ,86400000 ,0 ,0 ,11559128195 ,12796517802 ,21180790 ,0 ,0 ,0 
17,open,seoul,4,20000124,55,general_hospital,41406077905 ,6624671265 ,35120182720 ,19796589281 ,708476429 ,1000118143 ,448540747 ,53741720 ,684159514,4539942834 ,3924282684 ,2956588623 ,615660150 ,45720311419 ,43439124409 ,0 ,0 ,30534327153 ,16654601334 ,12459978161 ,13879725819 ,2270940000 ,19725927100 ,9070300542 
