rank,title,artist,album
1,How You Like That,BLACKPINK,How You Like That
2,Summer Hate (Feat. 비),지코 (ZICO),RANDOM BOX
3,마리아 (Maria),화사 (Hwa Sa),María
4,Downtown Baby,블루 (BLOO),Downtown Baby
5,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),싹쓰리 (유두래곤 린다G 비룡),여름 안에서 (Covered By 싹쓰리)
6,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
7,보라빛 밤 (pporappippam),선미,보라빛 밤 (pporappippam)
8,아로하,조정석,슬기로운 의사생활 OST Part 3
9,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11
10,살짝 설렜어 (Nonstop),오마이걸,NONSTOP
11,Dolphin,오마이걸,NONSTOP
12,Into the I-LAND,아이유,I-LAND Part.1 Signal Song
13,Dance Monkey,Tones And I,The Kids Are Coming
14,Memories,Maroon 5,Memories
15,MORE & MORE,TWICE (트와이스),MORE & MORE
16,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내
17,Monster,레드벨벳-아이린&슬기,Monster - The 1st Mini Album
18,METEOR,창모 (CHANGMO),Boyhood
19,Don't Start Now,Dua Lipa,Future Nostalgia
20,아무노래,지코 (ZICO),아무노래
21,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
22,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비
23,Blueming,아이유,Love poem
24,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2
25,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA
26,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
27,PLAY (Feat. 창모),청하,PLAY
28,깡 Official Remix,식케이 (Sik-K),깡 Official Remix
29,2002,Anne-Marie,Speak Your Mind (Deluxe)
30,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
31,어떻게 이별까지 사랑하겠어, 널 사랑하는 거지,AKMU (악동뮤지션),항해
32,환상동화 (Secret Story of the Swan),IZ*ONE (아이즈원),Oneiric Diary (幻想日記)
33,ON,방탄소년단,MAP OF THE SOUL : 7
