뉴스 식별자,본문
01100201.20200720164945001,"에프엔에스테크는 한경희 및 특별관계자의 지분율이 32.57%에서 34.52%로 변동했다고 20일 공시했다. 한편, 에프엔에스테크는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 9,210원, 거래량은 88,904주로, 직전 거래일 대비 190원(-2.02%) 하락했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 .."
01100201.20200720164011001,"이지웰은 65억 4천만원 규모의 자기주식 처분을 결정했다고 20일 공시했다. 
 
처분목적은 자기주식을 교환대상으로 하는 교환사채 발행이다. 
 
처분예정기간은 2020년 7월 22일부터 2020년 7월 22일까지다. 
 
처분예정 주식은 보통주 570,455주, 처분대상 주식가격은 11,470원이다. 
 
한편, 이지웰은 장 마감 이후 해당 기업공시를.."
01700201.20200720164009001,"인구 감소 및 고령화로 어려운 제주 농업농촌 경쟁력 강화를 위해 전동 자율주행 농업기계 보급정책을 서둘러 도입해야 한다는 제안이 나왔다.
제주특별자치도농업인단체협의회(회장 강수길)가 주최하고 (사)국제전기자동차엑스포(이사장 김대환)와 한국전동자율주행농업기계정책포럼(위원장 고병기 농협중앙회 상무)이 공동 주관한 '4차산업혁명 시대, 농업농촌 경쟁력 강화를.."
07100501.20200720163806001,"최근 코로나19로 인해 전통적인 의료환경도 변화하고 있다. 특히 ICT 기술의 활용과 이를 통한 디지털 헬스케어의 시장의 재조명은 세계적인 흐름으로 자리잡고 있으며 국내에서도 정부의 적극적인 지원과 업계의 빠른 호응으로 시장이 재편되는 움직임을 보여주고 있다.

특히 전통적인 산업과 ICT가 융합되는 경우 통상 ICT 기술로 무장한 엔지니어들이 먼저 움.."
01100201.20200720163602001,"케어랩스는 키움케이아이피헬스케어플랫폼 사모투자합자회사 및 특별관계자의 지분율이 7.75%에서 5.61%로 변동했다고 20일 공시했다. 한편, 케어랩스는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 9,590원, 거래량은 280,430주로, 직전 거래일 대비 340원(-3.42%) 하락했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등.."
01400501.20200720163601001,"안산시는 인공지능(AI)을 의료 및 바이오 산업분야에 접목해 생산성과 경쟁력을 높이고, AI 융합 인재육성을 위한 ‘인공지능 융합연구센터’ 지원 사업을 추진한다고 20일 밝혔다. 

인공지능 융합연구센터는 과학기술정보통신부의 공모사업으로 지난 2월 한양대 에리카 캠퍼스를 포함한 4개 대학(부산대, 충남대, 인하대)이 최종 선정돼 올 하반기부터 본격 추진.."
01100201.20200720163449001,"슈펙스비앤피는 최근 현저한 시황변동에 대한 조회공시 요구에 대해 ""중요한 공시사항이 없다""고 20일 답변했다. 
 
한편, 슈펙스비앤피는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 237원, 거래량은 54,412,941주로, 직전 거래일 대비 4원(-1.66%) 하락했다. 
 
공시 전문으로 이동 
 
스톡봇 기자 
 
※ 이 기사는 국민일보.."
01500601.20200720162622001,"대구 강북지역 중심지인 북구 태전동에 '태전역 광신프로그레스'가 이달 24일 분양 오픈한다. 
 
 (주)광신종합건설의 태전역 광신프로그레스는 대구 북구 태전동 214-47번지 외 89필지에 조성된다. 
단지 규모는 지하 2층에서 지상 15층, 8개동, 총 532세대 규모이며, 이중 조합원 물량을 제외한 252세대를 일반분양한다. 
세대면적은 59㎡, .."
01500601.20200720162522001,"20일 대구 드론 기업 (주)무지개연구소(대표 김용덕)가 산업통상자원부가 추진하는 '규제 샌드박스'로 지정됐다. 
 
 규제 샌드박스란 신제품, 신서비스를 출시할 기업에 일정 기간 기존 규제를 면제하는 제도다. 신기술의 원활한 시장 진입을 돕는 혁신의 실험장이라는 평가를 받는다. 
 
 무지개 연구소는 혁신 기술이 적용된 드론으로 대구와 부산에서 도심 .."
01100201.20200720162312001,"에이텍티앤은 신승영 및 특별관계자의 지분율이 32.95%에서 29.2%로 변동했다고 20일 공시했다. 한편, 에이텍티앤은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 17,950원, 거래량은 3,348,882주로, 직전 거래일 대비 1,750원(+10.8%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는.."
01100201.20200720162205001,"픽셀플러스는 이서규 및 특별관계자의 지분율이 30.6%에서 31.77%로 변동했다고 20일 공시했다. 한편, 픽셀플러스는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 4,950원, 거래량은 34,347주로, 직전 거래일 대비 5원(+0.1%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을 포.."
01100201.20200720161859001,"태영건설은 ㈜머스트자산운용 및 특별관계자의 지분율이 9.85%에서 9.61%로 변동했다고 20일 공시했다. 한편, 태영건설은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 16,900원, 거래량은 322,601주로, 직전 거래일 대비 50원(-0.29%) 하락했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수.."
01100201.20200720161547001,"APS홀딩스는 정기로 및 특별관계자의 지분율이 29.89%에서 29.9%로 변동했다고 20일 공시했다. 한편, APS홀딩스는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 8,540원, 거래량은 253,669주로, 직전 거래일 대비 190원(+2.28%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수.."
01100201.20200720160608001,"한국거래소는 20일 코스닥 상장기업인 바이오빌에 대해 보통주에 대한 주권매매거래 정지를 해제한다고 공시했다. 
 
해제일시는 7월 22일이며, 해제 사유는 상장폐지결정등효력정지 가처분신청 기각결정에 따른 정리매매절차 재개이다. 
 
한편, 바이오빌은 거래정지 상태이다. 
 
공시 전문으로 이동 
 
스톡봇 기자 
 
※ 이 기사는 국민일보와 엠로보가 개.."
01100201.20200720160300001,"인콘은 국군재정관리단과 27억원 규모의 계약을 체결했다고 20일에 공시했다. 
 
이번 계약은 20년 비행기지 통합 관제체계 구축사업이고 계약기간은 2020년 07월 20일부터 2020년 11월 30일까지이다. 
 
계약규모는 27억원으로 최근 매출액인 307억원 대비 9.06% 수준이다. 
 
한편, 인콘은 장 마감 이후 해당 기업공시를 발표했으며 오.."
02100201.20200720155743001,"[머니투데이 오정은 기자] [발란, 트렌비, 머스트잇 명품 온라인 플랫폼 고성장세...코로나19에도 '명품은 불패' ]

 명품 쇼핑 플랫폼 발란에서 판매 중인 생로랑, 미우미우, 클로에의 가방과 블라우스/사진=발란 공식홈 유럽 현지의 명품 부티크와 계약을 맺고 구찌, 프라다, 생로랑 등을 판매하는 스타트업 발란의 올 상반기 거래액은 350% 폭증했다..."
01100201.20200720155637001,"대주전자재료는 임무현 및 특별관계자의 지분율이 29.3%에서 29.06%로 변동했다고 20일 공시했다. 한편, 대주전자재료는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 35,950원, 거래량은 428,968주로, 직전 거래일 대비 400원(+1.13%) 상승했다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특.."
01400401.20200720153908001,"- 벽화 색 입히고 온라인 교육 앞장서는 마중물 역할 
 
〔중부매일 문영호 기자 〕대학과 지역과의 연대와 상생은 늘 강조되는 말이다. 

대학의 연구 성과가 학문 후속세대들에게 전수되는 것만큼이나 대학을 통한 지역사회 경제ㆍ문화발전에 대한 역할과 기대가 커지고 있다. 

최근 아산경찰서장으로부터 충무지구대 시민참여공간인 포토존과 쉼터 디자인 재능기부로.."
07100501.20200720153727001,"서울시와 서울산업진흥원(대표이사 장영승, SBA)이 미래기술 경쟁력 강화를 위한 산학협력의 장을 꾸준히 만들어나간다.

SBA 측은 지난 17일 코트야드 메리어트 서울보타닉 파크 아이디어홀에서 기술교류회 ‘서울 Tech connect meeting in 마곡’을 개최했다고 전했다.
 
 
 
‘서울 Tech connect meeting in 마곡’은 지.."
01100201.20200720153627001,"20일 코스닥(781.96p, -1.26p, -0.16%)은 외국인 매도 우위 속에 전 거래일보다 -1.26p 하락한 781.96p로 장을 마감했다. 투자자별 동향을 살펴보면 기관은 132억원 순매도했으며, 외국인도 999억원 순매도했다. 개인은 1,178억원 순매수했다. 
 
 
 
업종별로는 통신장비(+2.28%)와 섬유 의류(+1.66%) 등이 강.."
01100201.20200720152859001,"씨이랩은 이은순 및 특별관계자의 지분율이 0%에서 7.34%로 변동했다고 20일 공시했다. 한편, 씨이랩의 15시 27분 현재주가는 19,200원으로 직전 거래일 대비 200원(+1.05%) 상승이며, 거래량은 72주이다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5.."
01400401.20200720152541001,"- ""'에듀테크기술' 교육분야 디지털뉴딜시대 선도할 것"" 
 
［중부매일 김홍민 기자］ 이장섭 국회의원(더불어민주당ㆍ청주 서원구)이 에듀테크(edutech)산업 지원 근거를 마련하는 법안을 발의했다. 

'에듀테크'란 교육(education)과 기술(technology)의 합성어로써 4차 산업시대에 각광을 받고 있는 증강현실, 빅데이터, 인공지능(AI).."
01200201.20200720152137001,"안산시가 인공지능(AI)을 의료 및 바이오 산업분야에 접목해 생산성과 경쟁력을 높이고, AI 융합 인재육성을 위해 '인공지능 융합연구센터' 지원 사업을 추진한다. 
 
인공지능 융합연구센터는 과학기술정보통신부의 공모사업으로 지난 2월 한양대 에리카 캠퍼스를 포함한 4개 대학(부산대, 충남대, 인하대)이 최종 선정돼 올 하반기부터 본격 추진될 예정이다. .."
01100901.20200720151824001,"최근 디지털 뉴딜 정책 발표와 함께 공개된 정부의 데이터 댐 구축 구상을 바탕으로 의료, 금융, 법률 등 특수 분야의 난이도 높은 데이터 레이블링이 요구되는 가운데 알디프로젝트의 ‘데이터메이커’ 플랫폼이 각종 기업ㆍ기관들의 이목을 끌고 있다. 
 
 데이터 레이블링 플랫폼을 제공하는 알디프로젝트는 작년부터 진행해온 의료 음성 데이터 레이블링에 이어 최근.."
01100201.20200720151822001,"파멥신은 유진산 및 특별관계자의 지분율이 12.06%에서 11.61%로 변동했다고 20일 공시했다. 한편, 파멥신의 15시 16분 현재주가는 20,900원으로 직전 거래일 대비 1,350원(-6.07%) 하락이며, 거래량은 586,084주이다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인.."
01400551.20200720151620002,"［충북일보］ 더불어민주당 이장섭(청주 서원)의원이 최근 에듀테크(edutech) 산업에 대한 지원 근거를 마련하는 내용의 '이러닝(전자학습)산업 발전 및 이러닝 활용 촉진에 관한 법률 일부개정법률안'을 대표 발의했다고 20일 밝혔다. 

'에듀테크'란 교육(education)과 기술(technology)의 합성어다. 4차 산업시대에 각광을 받고 있는 증.."
01700201.20200720150006001,"지난 20년간의 제주삼다수 취수에도 주변의 지하수 수위에는 별다른 변동이 없던 것으로 연구결과 밝혀졌다. 이에 따라 취수원 주변의 지하수를 지속가능한 자원으로 관리할 수 있을 것으로 전망된다.
제주특별자치도개발공사는 1998년 제주삼다수 출시이래 20여년 이상의 장기간에 걸친 조사 연구 자료를 토대로 최근 취수원 주변의 지하수 특성에 대한 논문 2편을 .."
02100201.20200720143559001,"[머니투데이 양태연 머니투데이방송 PD] [[MTN 오! 마이 스탁] 오마이 특징주]

 오전장 시황과 AI에 포착된 테마와 종목! 인공지능의 종목으로 초보투자자들의 기준을 잡아드립니다! (진행) 김다은 머니투데이방송 앵커 (출연) 조인원 이사 / 타라시스템 Q. 개장 때 포착된 종목들은? - 웰크론한텍 2.42% 부분청산 후 보유 - 미코 3.10% .."
02100851.20200720143424001,"국내 연구진이 인공지능(AI)을 이용해 소리를 듣고 어떠한 상황인지 음향 인식 기술력을 겨루는 국제대회에서 세계 1위를 달성했다. 
 
한국전자통신연구원(ETRI)은 지난 3일 세계적인 인공지능 기반 음향 이벤트와 장면 인식 기술 경진 대회(DCASE)인 '음향 장면 인식 분야'에 참가해 우수한 성적을 거뒀다고 20일 밝혔다. 
 
올해로 6회째를 맞이.."
01100201.20200720142940001,"티앤알바이오팹은 주식회사 닥터웰과 2억원 규모의 계약을 체결했다고 20일에 공시했다. 
 
이번 계약은 비접촉식 디지털 체온계이고 계약기간은 2020년 07월 20일부터 2020년 09월 19일까지이다. 
 
계약규모는 2억원으로 최근 매출액인 12억원 대비 21% 수준이다. 
 
한편, 티앤알바이오팹의 14시 27분 현재주가는 12,450원으로 직전 .."
02100101.20200720142531001,"제주도에서 삼다수 취수가 주변 지하수 수위에 영향을 주지 않는다는 연구결과가 나왔다.
제주삼다수를 생산 판매하는 제주특별자치도개발공사(사장 김정학)는 1998년 출시 이래 20여년 이상 장기간에 걸친 조사연구 자료를 토대로 최근 제주삼다수 취수원 주변지역 지하수 특성에 대한 논문 두 편을 한국수자원학회 논문집에 발표했다. 
논문에 따르면 제주삼다수 취수.."
02100851.20200720141158001,"[사진=아리랑TV 제공] 
 
아리랑TV가 코로나19로 해외 진출에 도움이 절실해진 국내 벤처기업들을 위해 또 한 번 팔을 걷어붙였다. 
 
코로나19의 강력한 전염력으로 수출 판로에 빨간불이 켜진 국내 벤처기업들. 아리랑TV는 국내 스타트업들의 글로벌 마케팅 지원을 위해 KDB산업은행과 협력하여 K-Tech Innovators를 기획 제작, 기업들의 .."
